t, PE, KE, TE,q1, q2,
0.113750, 679.192544, 638.077836, 1317.270380,-0.224001, 0.621858,
0.114375, 679.012720, 633.533878, 1312.546598,-0.229866, 0.626967,
0.115000, 678.828141, 628.929345, 1307.757485,-0.235716, 0.632079,
0.115625, 678.638863, 624.265920, 1302.904783,-0.241549, 0.637192,
0.116250, 678.444944, 619.545825, 1297.990768,-0.247367, 0.642307,
0.116875, 678.246445, 614.770747, 1293.017192,-0.253167, 0.647424,
0.117500, 678.043425, 609.942895, 1287.986320,-0.258951, 0.652542,
0.118125, 677.835946, 605.063961, 1282.899907,-0.264718, 0.657660,
0.118750, 677.624070, 600.136137, 1277.760207,-0.270467, 0.662780,
0.119375, 677.407860, 595.161114, 1272.568974,-0.276198, 0.667901,
0.120000, 677.187381, 590.141066, 1267.328447,-0.281911, 0.673022,
0.120625, 676.962697, 585.077680, 1262.040376,-0.287605, 0.678143,
0.121250, 676.733873, 579.973108, 1256.706980,-0.293280, 0.683265,
0.121875, 676.500976, 574.829030, 1251.330006,-0.298936, 0.688386,
0.122500, 676.264073, 569.647574, 1245.911647,-0.304573, 0.693507,
0.123125, 676.023232, 564.430410, 1240.453643,-0.310189, 0.698628,
0.123750, 675.778521, 559.179640, 1234.958160,-0.315786, 0.703748,
0.124375, 675.530009, 553.896918, 1229.426927,-0.321362, 0.708867,
0.125000, 675.277765, 548.584319, 1223.862084,-0.326916, 0.713985,
0.125625, 675.021861, 543.243481, 1218.265342,-0.332450, 0.719101,
0.126250, 674.762365, 537.876445, 1212.638810,-0.337963, 0.724217,
0.126875, 674.499351, 532.484832, 1206.984183,-0.343453, 0.729330,
0.127500, 674.232888, 527.070649, 1201.303537,-0.348922, 0.734442,
0.128125, 673.963050, 521.635497, 1195.598547,-0.354368, 0.739551,
0.128750, 673.689907, 516.181344, 1189.871251,-0.359792, 0.744659,
0.129375, 673.413535, 510.709768, 1184.123304,-0.365193, 0.749764,
0.130000, 673.134005, 505.222700, 1178.356705,-0.370571, 0.754866,
0.130625, 672.851391, 499.721691, 1172.573082,-0.375925, 0.759966,
0.131250, 672.565766, 494.208632, 1166.774398,-0.381256, 0.765062,
0.131875, 672.277206, 488.685046, 1160.962252,-0.386562, 0.770156,
0.132500, 671.985782, 483.152781, 1155.138562,-0.391845, 0.775246,
0.133125, 671.691571, 477.613331, 1149.304902,-0.397103, 0.780333,
0.133750, 671.394646, 472.068500, 1143.463145,-0.402336, 0.785416,
0.134375, 671.095083, 466.519750, 1137.614833,-0.407544, 0.790495,
0.135000, 670.792955, 460.968838, 1131.761793,-0.412727, 0.795570,
0.135625, 670.488339, 455.417195, 1125.905535,-0.417885, 0.800641,
0.136250, 670.181308, 449.866530, 1120.047838,-0.423016, 0.805708,
0.136875, 669.871938, 444.318238, 1114.190176,-0.428122, 0.810770,
0.137500, 669.560302, 438.773980, 1108.334282,-0.433202, 0.815827,
0.138125, 669.246479, 433.235114, 1102.481593,-0.438255, 0.820880,
